Titulo,Empresa,Local,Data,Categoria
Oeiras  Professores(as) / Explicadores(as) - Apoio ao Estudo - 3º ciclo (área científica),4Brain - Oeiras,Lisboa,12-9-2024,Educação / Formação
Motorista Pesados,Pedromat Unipessoal Lda,Porto,12-9-2024,Transportes / Logística
Mecânico Auto - Profit-Plan Lda,PROFIT-PLAN LDA,Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Canalizador,VICTOR SUVAC UNIPESSOAL LDA,Lisboa,12-9-2024,Construção Civil
Auxiliar de Educação bilingue (Inglês) / Bilingual Teaching Assistant (English) - Oeiras e Estoril,"PTB Education II, S.A.",Lisboa,12-9-2024,Educação / Formação
Técnico de Vendas Bebidas (m/f),"José Maria Vieira, SA",Lisboa,12-9-2024,Comercial / Vendas
Técnico de farmácia (M/F) para Farmácia em Lisboa,Sellfar,Lisboa,12-9-2024,Farmácia / Biotecnologia
"Gestor Condominios (Sintra, Oeiras, Amadora, Lisboa)",BestPlusGold Lda,Lisboa,12-9-2024,Banca / Seguros / Serviços Financeiros
Venda de plantas e manutenção,Ecossistemas,Faro,12-9-2024,Agricultura / Florestas / Pescas
Chefe sala / Mesa,Sociedade restaurantes sa,Lisboa,12-9-2024,Hotelaria / Turismo
Acabadores de Mármores e Granitos com experiência (Salário base 1200 euros),"MARMORISTA S. M. ROSA, UNIP LDA",Leiria,12-9-2024,Indústria / Produção
Gestor de Projetos. Arquiteto Senior- Qta do Lago,Maider,Faro,12-9-2024,Arquitectura / Design
Gestor Condomínios (Sintra / Amadora / Oeiras / Lisboa),BestPlusGold Lda,Lisboa,12-9-2024,Comercial / Vendas
"Licenciatura Geologia, Hidrogeologia ou Engenharia Geológica - Algarve",ADPN-ENGENHARIA E MANUTENCAO UNIPESSOAL LDA,Faro,12-9-2024,Serviços Técnicos
Rececionista SPA Massagens Ginásio Holmes Place (part-time 10h30-14h30) 450 mês,SMOOTH & PEACEFUL UNIPESSOAL LDA,Lisboa,12-9-2024,Comercial / Vendas
